"csv_column","source_variable","data_type","section","json_path"
"codigo_unico","codigo_unico","text","metadata","codigo_unico"
"submitted_at","submitted_at","text","metadata","submitted_at"
"formulario_version","formulario_version","text","metadata","formulario_version"
"review_status","review_status","text","metadata","review_status"
"nombre","nombre","text","A-D","payload.nombre"
"cargo","cargo","text","A-D","payload.cargo"
"organizacion","organizacion","text","A-D","payload.organizacion"
"country","country","text","A-D","payload.country"
"contact_after","contact_after","text","A-D","payload.contact_after"
"dengue_2025","dengue_2025","text","A-D","payload.dengue_2025"
"filariasis_activa_2025","filariasis_activa_2025","text","A-D","payload.filariasis_activa_2025"
"filariasis_escenario_2025","filariasis_escenario_2025","text","A-D","payload.filariasis_escenario_2025"
"malaria_2025","malaria_2025","text","A-D","payload.malaria_2025"
"plan_tipo","plan_tipo","text","A-D","payload.plan_tipo"
"plan_estado","plan_estado","text","A-D","payload.plan_estado"
"plan_caracteristicas_tipo","plan_caracteristicas_tipo","text","A-D","payload.plan_caracteristicas_tipo"
"plan_aedes_estado","plan_aedes_estado","text","A-D","payload.plan_aedes_estado"
"plan_anopheles_estado","plan_anopheles_estado","text","A-D","payload.plan_anopheles_estado"
"plan_integrado_estado","plan_integrado_estado","text","A-D","payload.plan_integrado_estado"
"plan_aedes_nombre","plan_aedes_nombre","text","A-D","payload.plan_aedes_nombre"
"plan_aedes_anio","plan_aedes_anio","text","A-D","payload.plan_aedes_anio"
"plan_aedes_documento","plan_aedes_documento","text","A-D","payload.plan_aedes_documento"
"plan_anopheles_nombre","plan_anopheles_nombre","text","A-D","payload.plan_anopheles_nombre"
"plan_anopheles_anio","plan_anopheles_anio","text","A-D","payload.plan_anopheles_anio"
"plan_anopheles_documento","plan_anopheles_documento","text","A-D","payload.plan_anopheles_documento"
"plan_integrado_nombre","plan_integrado_nombre","text","A-D","payload.plan_integrado_nombre"
"plan_integrado_anio","plan_integrado_anio","text","A-D","payload.plan_integrado_anio"
"plan_integrado_documento","plan_integrado_documento","text","A-D","payload.plan_integrado_documento"
"reglamentos_nacionales","reglamentos_nacionales","text","A-D","payload.reglamentos_nacionales"
"reglamentos_documento","reglamentos_documento","text","A-D","payload.reglamentos_documento"
"prioridad_planes","prioridad_planes","text","A-D","payload.prioridad_planes"
"asistencia_planes","asistencia_planes","text","A-D","payload.asistencia_planes"
"c3a_1_normas_vigilancia_aedes","sat26_normas_vigilancia_aedes","text","A-D","payload.normas_vigilancia_aedes"
"c3a_2_normas_control_aedes","sat26_normas_control_aedes","text","A-D","payload.normas_control_aedes"
"c3a_3_normas_vigilancia_anopheles","sat26_normas_vigilancia_anopheles","text","A-D","payload.normas_vigilancia_anopheles"
"c3a_4_normas_control_anopheles","sat26_normas_control_anopheles","text","A-D","payload.normas_control_anopheles"
"c4a_1_plan_elemento_control_aedes","sat26_plan_elemento_control_aedes","text","A-D","payload.plan_elemento_control_aedes"
"c4a_2_plan_elemento_vigilancia_aedes","sat26_plan_elemento_vigilancia_aedes","text","A-D","payload.plan_elemento_vigilancia_aedes"
"c4a_3_plan_elemento_control_anopheles","sat26_plan_elemento_control_anopheles","text","A-D","payload.plan_elemento_control_anopheles"
"c4a_4_plan_elemento_vigilancia_anopheles","sat26_plan_elemento_vigilancia_anopheles","text","A-D","payload.plan_elemento_vigilancia_anopheles"
"c4a_5_plan_elemento_equipos_insecticidas","sat26_plan_elemento_equipos_insecticidas","text","A-D","payload.plan_elemento_equipos_insecticidas"
"c4a_6_plan_elemento_resistencia","sat26_plan_elemento_resistencia","text","A-D","payload.plan_elemento_resistencia"
"c4a_7_plan_elemento_recursos_humanos","sat26_plan_elemento_recursos_humanos","text","A-D","payload.plan_elemento_recursos_humanos"
"c4a_8_plan_elemento_formacion","sat26_plan_elemento_formacion","text","A-D","payload.plan_elemento_formacion"
"c4a_9_plan_elemento_participacion","sat26_plan_elemento_participacion","text","A-D","payload.plan_elemento_participacion"
"c4a_10_plan_elemento_sistemas_info","sat26_plan_elemento_sistemas_info","text","A-D","payload.plan_elemento_sistemas_info"
"c4a_11_plan_elemento_investigacion","sat26_plan_elemento_investigacion","text","A-D","payload.plan_elemento_investigacion"
"c4a_12_plan_elemento_vulnerables","sat26_plan_elemento_vulnerables","text","A-D","payload.plan_elemento_vulnerables"
"c4a_13_plan_elemento_monitoreo","sat26_plan_elemento_monitoreo","text","A-D","payload.plan_elemento_monitoreo"
"descentralizacion","descentralizacion","text","A-D","payload.descentralizacion"
"legislacion_24_48","legislacion_24_48","text","A-D","payload.legislacion_24_48"
"grupo_interministerial","grupo_interministerial","text","A-D","payload.grupo_interministerial"
"grupo_interministerial_reunion","grupo_interministerial_reunion","text","A-D","payload.grupo_interministerial_reunion"
"prioridad_agenda","prioridad_agenda","text","A-D","payload.prioridad_agenda"
"factores_prioridad_otros","factores_prioridad_otros","text","A-D","payload.factores_prioridad_otros"
"frecuencia_interministerial","frecuencia_interministerial","text","A-D","payload.frecuencia_interministerial"
